Site,Constituent,C_wo_units,STORET,Units,Max,DateOfMax,Methods,DL min,DL max,Nr. Non-Detects,Count,Date Range,Detection Rate,Action,Notes
100829,Beryllium (ug/L),Beryllium,1012,ug/L,5.0,2018-08-16,['200.8' 'EPA 200.8'],1.0,5.0,58,58,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Benzyl Alcohol (ug/L),Benzyl Alcohol,77147,ug/L,5.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,5.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzoic Acid (ug/L),Benzoic Acid,77247,ug/L,50.0,2018-04-12,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,50.0,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bromoform (ug/L),Bromoform,32104,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Benzo (k) Fluoranthene (ug/L),Benzo (k) Fluoranthene,34242,ug/L,0.2,2021-12-16,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM'],0.02,0.2,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzo (b) Fluoranthene (ug/L),Benzo (b) Fluoranthene,34230,ug/L,0.2,2021-12-16,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM'],0.02,0.2,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzo (a) Pyrene (ug/L),Benzo (a) Pyrene,34247,ug/L,0.2,2021-12-16,['525.2' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 525.2' 'EPA 625 SIM'],0.02,0.2,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzo (a) Anthracene (ug/L),Benzo (a) Anthracene,34526,ug/L,5.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 525.2' 'EPA 625'],0.05,5.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzidine (ug/L),Benzidine,39120,ug/L,50.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,50.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Benzene (ug/L),Benzene,34030,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Bentazon (ug/L),Bentazon,38710,ug/L,0.5,2022-10-20,['515.4' 'EPA 515.4'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Atrazine (ug/L),Atrazine,39033,ug/L,0.051,2022-10-20,['525.2' 'EPA 525.2'],0.05,0.051,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Asbestos (MFL),Asbestos,81855,MFL,3.7,2020-04-21,['E100.2' 'EPA 100.2'],0.18,3.7,11,11,2020-2022,0.0,Reduce frequency,All samples are ND
100829,Anthracene (ug/L),Anthracene,34220,ug/L,5.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.02,5.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Aniline (ug/L),Aniline,77089,ug/L,10.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,alpha-Chlordane (ug/L),alpha-Chlordane,39348,ug/L,0.051,2022-10-20,['525.2' 'EPA 525.2'],0.05,0.051,15,15,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Alpha-BHC (ug/L),Alpha-BHC,39337,ug/L,0.1,2022-10-20,['525.2' 'EPA 525.2'],0.1,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Alachlor (ug/L),Alachlor,77825,ug/L,0.1,2022-10-20,['505' 'EPA 525.2' 'EPA 505'],0.05,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"Benzo (g,h,i) Perylene (ug/L)","Benzo (g,h,i) Perylene",34521,ug/L,10.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.05,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Bromomethane (Methyl Bromide) (ug/L),Bromomethane (Methyl Bromide),34413,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Butachlor (ug/L),Butachlor,77860,ug/L,0.05,2022-04-06,['EPA 525.2'],0.05,0.05,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Butylbenzylphthalate (ug/L),Butylbenzylphthalate,34292,ug/L,5.0,2021-02-16,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625'],0.5,5.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"Dibenzo (a,h) Anthracene (ug/L)","Dibenzo (a,h) Anthracene",34556,ug/L,10.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.05,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Diazinon (ug/L),Diazinon,39570,ug/L,0.1,2022-10-20,['525.2' 'EPA 525.2'],0.1,0.1,15,15,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Di-N-Octylphthalate (ug/L),Di-N-Octylphthalate,34596,ug/L,10.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.1,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Di-Isopropyl Ether (ug/L),Di-Isopropyl Ether,A-036,ug/L,3.0,2022-06-15,['524.2' 'EPA 524.2'],3.0,3.0,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Di(2-ethylhexyl)phthalate (DEHP) (ug/L),Di(2-ethylhexyl)phthalate (DEHP),39100,ug/L,4.9,2021-12-16,['525.2' 'EPA 625.1 SIM' 'EPA 525.2'],0.6,4.9,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Di (2-Ethylhexyl) Adipate (ug/L),Di (2-Ethylhexyl) Adipate,A-026,ug/L,0.61,2022-10-20,['525.2' 'EPA 525.2'],0.6,0.61,15,15,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Delta-BHC (ug/L),Delta-BHC,34259,ug/L,0.1,2022-10-20,['525.2' 'EPA 525.2'],0.1,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,DDVP (ug/L),DDVP,38775,ug/L,0.05,2022-04-06,['EPA 525.2'],0.05,0.05,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Dalapon (qualitative) (ug/L),Dalapon (qualitative),38432,ug/L,1.0,2022-10-20,['515.4' 'EPA 515.4'],1.0,1.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,D/DBP Haloacetic Acids (HAA5) (ug/L),D/DBP Haloacetic Acids (HAA5),A-049,ug/L,2.0,2022-04-06,['SM 6251B'],2.0,2.0,10,10,2020-2022,0.0,Reduce frequency,All samples are ND
100829,Cyanide (mg/L),Cyanide,1291,mg/L,0.025,2022-10-20,['4500 CN F' '335.4' 'SM4500CN-F' 'EPA 335.4'],0.005,0.025,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"cis-1,3-Dichloropropene (ug/L)","cis-1,3-Dichloropropene",34704,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2' 'EPA 624'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"cis-1,2-Dichloroethylene (ug/L)","cis-1,2-Dichloroethylene",77093,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2' 'EPA 624'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Chrysene (ug/L),Chrysene,34320,ug/L,0.2,2021-12-16,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM'],0.02,0.2,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"Chlorthalonil (Draconil,Bravo) (ug/L)","Chlorthalonil (Draconil,Bravo)",70314,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Chlorpyrifos (ug/L),Chlorpyrifos,77969,ug/L,0.05,2022-04-06,['EPA 525.2'],0.05,0.05,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Chloroneb (ug/L),Chloroneb,38423,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Chloromethane (Methyl Chloride) (ug/L),Chloromethane (Methyl Chloride),34418,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2' 'EPA 624'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Chloroethane (ug/L),Chloroethane,34311,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Chlorodibromomethane (ug/L),Chlorodibromomethane,32105,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Chlorobenzilate (ug/L),Chlorobenzilate,39460,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Chlorobenzene (ug/L),Chlorobenzene,34301,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Chlorite by IC (mg/L),Chlorite by IC,50074,mg/L,0.01,2022-04-06,['EPA 300.0'],0.01,0.01,10,10,2020-2022,0.0,Reduce frequency,All samples are ND
100829,Chlordane (ug/L),Chlordane,39350,ug/L,0.1,2022-10-20,['505' 'EPA 505'],0.099,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"Carbonate as CO3, Calculated (mg/L)","Carbonate as CO3, Calculated",445,mg/L,2.0,2022-10-20,['SM 2320B' 'SM2330B'],2.0,2.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Carbon Tetrachloride (ug/L),Carbon Tetrachloride,32102,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Carbofuran (Furadan) (ug/L),Carbofuran (Furadan),81405,ug/L,0.5,2022-10-20,['531.2' 'EPA 531.2'],0.5,0.5,15,15,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Caffeine (ug/L),Caffeine,81436,ug/L,0.05,2022-04-06,['EPA 525.2'],0.05,0.05,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Cadmium (ug/L),Cadmium,1027,ug/L,1.0,2022-02-14,['200.8' 'EPA 200.8'],0.5,1.0,58,58,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Acrylonitrile (ug/L),Acrylonitrile,34215,ug/L,25.0,2018-02-07,['624.1' 'EPA 624.1' 'EPA 624'],2.0,25.0,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Acrolein (ug/L),Acrolein,34210,ug/L,25.0,2018-02-07,['624.1' 'EPA 624.1' 'EPA 624'],5.0,25.0,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Aciflurfen (qualitative) (ug/L),Aciflurfen (qualitative),79193,ug/L,0.2,2022-06-15,['515.4' 'EPA 515.4'],0.2,0.2,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Acetochlor (ug/L),Acetochlor,4240,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-DDD (ug/L)","2,4-DDD",39315,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-DB (ug/L)","2,4-DB",38746,ug/L,2.0,2022-06-15,['515.4' 'EPA 515.4'],2.0,2.0,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-D (ug/L)","2,4-D",39730,ug/L,0.1,2022-10-20,['515.4' 'EPA 515.4'],0.1,0.1,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4,6-Trinitrotoluene (TNT) (ug/L)","2,4,6-Trinitrotoluene (TNT)",81360,ug/L,0.1,2022-10-20,['Explosives' 'LC-MS-MS'],0.1,0.1,15,15,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4,6-Trichlorophenol (ug/L)","2,4,6-Trichlorophenol",34621,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.95,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4,5-Trichlorophenol (ug/L)","2,4,5-Trichlorophenol",77687,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.96,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4,5-TP (Silvex) (ug/L)","2,4,5-TP (Silvex)",39045,ug/L,0.2,2022-10-20,['515.4' 'EPA 515.4'],0.2,0.2,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4,5-T (ug/L)","2,4,5-T",39740,ug/L,0.2,2022-06-15,['515.4' 'EPA 515.4'],0.2,0.2,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,3,6-Trichlorophenol (ug/L)","2,3,6-Trichlorophenol",77688,ug/L,5.0,2018-04-12,['EPA 625'],5.0,5.0,28,28,2013-2018,0.0,Reduce frequency,All samples are ND
100829,"2,3,4-Trichlorophenol (ug/L)","2,3,4-Trichlorophenol",77686,ug/L,5.0,2018-04-12,['EPA 625'],5.0,5.0,28,28,2013-2018,0.0,Reduce frequency,All samples are ND
100829,"2,2-Dichloropropane (ug/L)","2,2-Dichloropropane",77170,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,10:2 FTS (ng/L),10:2 FTS,WRD225,ng/L,4.3,2019-10-17,"['EPA 537 Ver 1.1,mod']",2.7,4.3,4,4,2019-2019,0.0,Reduce frequency,All samples are ND
100829,"1,4-Dioxane (ug/L)","1,4-Dioxane",A-032,ug/L,1.0,2022-10-20,['522' 'EPA 522'],0.99,1.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"1,3-Dichloropropene (Total) (ug/L)","1,3-Dichloropropene (Total)",34561,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,3-Dichloropropane (ug/L)","1,3-Dichloropropane",77173,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,3-Dichlorobenzene (ug/L)","1,3-Dichlorobenzene",34566,ug/L,0.5,2022-10-20,['524.2' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 524.2' 'EPA 624'],0.19,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,3,5-Trimethylbenzene (ug/L)","1,3,5-Trimethylbenzene",77226,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2-diphenylhydrazine (ug/L)","1,2-diphenylhydrazine",34346,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2-Dichloropropane (ug/L)","1,2-Dichloropropane",34541,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2-Dichloroethane (ug/L)","1,2-Dichloroethane",34531,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2' 'EPA 624'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2,4-Trimethylbenzene (ug/L)","1,2,4-Trimethylbenzene",77222,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2,4-Trichlorobenzene (ug/L)","1,2,4-Trichlorobenzene",34551,ug/L,5.0,2018-02-07,['524.2' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 524.2' 'EPA 625'],0.19,5.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2,3-Trichloropropane (ug/L)","1,2,3-Trichloropropane",77443,ug/L,0.5,2022-06-15,['SRL 524M' '524.2' 'CASRL 524M-TCP' 'EPA 524.2'],0.005,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,2,3-Trichlorobenzene (ug/L)","1,2,3-Trichlorobenzene",77613,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,1-Dichloropropene (ug/L)","1,1-Dichloropropene",77168,ug/L,0.5,2022-06-15,['524.2' 'EPA 524.2'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,1-Dichloroethylene (ug/L)","1,1-Dichloroethylene",34501,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,1-Dichloroethane (ug/L)","1,1-Dichloroethane",34496,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,1,2-Trichloroethane (ug/L)","1,1,2-Trichloroethane",34511,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"1,1,2,2-Tetrachloroethane (ug/L)","1,1,2,2-Tetrachloroethane",34516,ug/L,0.5,2022-10-20,['524.2' 'EPA 524.2'],0.5,0.5,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-DDE (ug/L)","2,4-DDE",39327,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Dibenzofuran (ug/L),Dibenzofuran,81302,ug/L,5.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,5.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-DDT (ug/L)","2,4-DDT",39305,ug/L,0.1,2022-04-06,['EPA 525.2'],0.1,0.1,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"2,4-Dimethylphenol (ug/L)","2,4-Dimethylphenol",34606,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,Acetaldehyde (ug/L),Acetaldehyde,77001,ug/L,1.0,2022-04-06,['EPA 556'],1.0,1.0,13,13,2018-2022,0.0,Reduce frequency,All samples are ND
100829,Acenaphthylene (ug/L),Acenaphthylene,34200,ug/L,5.0,2018-02-07,['525.2' '625.1 SIM' 'EPA 525.2' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.1,5.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"Acenaphthene, Total Weight (ug/L)","Acenaphthene, Total Weight",34205,ug/L,0.2,2021-12-16,['525.2' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 525.2'],0.1,0.2,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,8:2 FTS (ng/L),8:2 FTS,WRD228,ng/L,5.4,2019-04-09,"['EPA 537 Ver 1.1,mod']",2.5,5.4,4,4,2019-2019,0.0,Reduce frequency,All samples are ND
100829,6:2 FTS (ng/L),6:2 FTS,WRD227,ng/L,4.3,2019-10-17,"['EPA 537 Ver 1.1,mod']",1.8,4.3,4,4,2019-2019,0.0,Reduce frequency,All samples are ND
100829,4:2 FTS (ng/L),4:2 FTS,WRD226,ng/L,2.7,2019-04-09,"['EPA 537 Ver 1.1,mod']",1.6,2.7,4,4,2019-2019,0.0,Reduce frequency,All samples are ND
100829,4-Nitrophenol (ug/L),4-Nitrophenol,34646,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,4-Nitroaniline (ug/L),4-Nitroaniline,30342,ug/L,20.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,20.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,4-Methylphenol (ug/L),4-Methylphenol,77146,ug/L,5.0,2018-04-12,['EPA 625'],5.0,5.0,28,28,2013-2018,0.0,Reduce frequency,All samples are ND
100829,4-Methyl-2-Pentanone (MIBK) (ug/L),4-Methyl-2-Pentanone (MIBK),81596,ug/L,5.0,2022-10-20,['524.2' 'EPA 524.2' 'EPA 624'],5.0,5.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,4-Chlorophenyl Phenyl Ether (ug/L),4-Chlorophenyl Phenyl Ether,34641,ug/L,5.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,5.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,4-Chloroaniline (ug/L),4-Chloroaniline,50312,ug/L,5.0,2021-02-16,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,5.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,4-Chloro-3-methylphenol (ug/L),4-Chloro-3-methylphenol,34452,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.95,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,4-Bromophenyl Phenyl Ether (ug/L),4-Bromophenyl Phenyl Ether,34636,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,10.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,3-Nitroaniline (ug/L),3-Nitroaniline,78300,ug/L,20.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,20.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,"3,5-Dichlorobenzoic Acid (ug/L)","3,5-Dichlorobenzoic Acid",50935,ug/L,0.5,2022-06-15,['515.4' 'EPA 515.4'],0.5,0.5,53,53,2013-2022,0.0,Reduce frequency,All samples are ND
100829,"3,4,5-Trichlorophenol (ug/L)","3,4,5-Trichlorophenol",81848,ug/L,5.0,2018-04-12,['EPA 625'],5.0,5.0,28,28,2013-2018,0.0,Reduce frequency,All samples are ND
100829,"3,3-Dichlorobenzidine (ug/L)","3,3-Dichlorobenzidine",34631,ug/L,50.0,2018-02-07,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,50.0,18,18,2018-2022,0.0,Reduce frequency,All samples are ND
100829,2-Nitrophenol (ug/L),2-Nitrophenol,34591,ug/L,10.0,2022-10-20,['625.1' '625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.95,10.0,55,55,2013-2022,0.0,Reduce frequency,All samples are ND
100829,2-Nitroaniline (ug/L),2-Nitroaniline,78142,ug/L,10.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],4.8,10.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
100829,2-Methylphenol (ug/L),2-Methylphenol,A-046,ug/L,1.0,2021-02-16,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM'],0.95,1.0,20,20,2019-2022,0.0,Reduce frequency,All samples are ND
100829,2-Methylnaphthalene (ug/L),2-Methylnaphthalene,77416,ug/L,5.0,2018-02-07,['625.1 SIM' 'EPA 625.1 SIM' 'EPA 625 SIM' 'EPA 625'],0.19,5.0,16,16,2018-2022,0.0,Reduce frequency,All samples are ND
